2021-06-10 23:33:26,826 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:33:26,872 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 23:33:31,845 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:33:31,852 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 23:33:31,900 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:33:31,903 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 23:39:45,091 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:39:45,100 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 23:39:45,103 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:39:45,148 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
